iter	RMSE
0	10.12062678
1	10.00196386
2	9.884938342
3	9.785895215
4	9.676807837
5	9.55353124
6	9.443479377
7	9.345123443
8	9.245548361
9	9.140508898
10	9.026804268
11	8.938712315
12	8.833845156
13	8.755271144
14	8.64670994
15	8.547221621
16	8.449373789
17	8.350378706
18	8.248446208
19	8.158481499
20	8.08728295
21	8.003449839
22	7.915720564
23	7.835809379
24	7.740681352
25	7.669089611
26	7.599698277
27	7.519162692
28	7.440298192
29	7.373947018
30	7.29807613
31	7.210430969
32	7.15685025
33	7.084171552
34	7.0141092
35	6.947870853
36	6.869895686
37	6.796610332
38	6.726980281
39	6.669092229
40	6.619618679
41	6.561431977
42	6.493253236
43	6.433792177
44	6.368228107
45	6.306746436
46	6.237899735
47	6.162875582
48	6.089052441
49	6.028772961
50	5.973809151
51	5.907620182
52	5.854644205
53	5.791219028
54	5.742497176
55	5.680409279
56	5.617627705
57	5.559433158
58	5.497870164
59	5.441807965
60	5.385863826
61	5.343773266
62	5.29940824
63	5.253829805
64	5.200248921
65	5.166967436
66	5.121628398
67	5.073702742
68	5.026752551
69	4.986499994
70	4.942714112
71	4.899332902
72	4.854654352
73	4.814767201
74	4.775818456
75	4.732378688
76	4.69209058
77	4.651076177
78	4.605160954
79	4.559975494
80	4.523889455
81	4.477389811
82	4.440024951
83	4.392496009
84	4.354055399
85	4.322185876
86	4.291677093
87	4.266783091
88	4.236521685
89	4.202925906
90	4.163742152
91	4.129600185
92	4.096010314
93	4.051567799
94	4.024046664
95	3.989867274
96	3.949766754
97	3.907954303
98	3.879056379
99	3.840202714
100	3.806767761
101	3.775636335
102	3.754284145
103	3.71807978
104	3.692719891
105	3.656131038
106	3.619131409
107	3.585418506
108	3.55442357
109	3.526987857
110	3.494259771
111	3.463646111
112	3.429262954
113	3.399920889
114	3.37132342
115	3.341835057
116	3.307460388
117	3.274670724
118	3.246575593
119	3.210580269
120	3.182883277
121	3.151647507
122	3.125187553
123	3.099361692
124	3.071468868
125	3.039097036
126	3.012450677
127	2.988125251
128	2.957377548
129	2.933818024
130	2.910974009
131	2.883912435
132	2.853763034
133	2.825811273
134	2.807752621
135	2.782008498
136	2.758340405
137	2.731038463
138	2.708410969
139	2.687514017
140	2.658363913
141	2.630280705
142	2.612793452
143	2.59371607
144	2.570772847
145	2.547270636
146	2.519620404
147	2.494387178
148	2.473460809
149	2.461248384
150	2.438004745
151	2.413184514
152	2.394499506
153	2.374928728
154	2.358342588
155	2.336479969
156	2.318103603
157	2.297365645
158	2.274651325
159	2.252972779
160	2.23234953
161	2.211046056
162	2.187372987
163	2.169980668
164	2.161825015
165	2.142032956
166	2.114292076
167	2.092722761
168	2.072791184
169	2.047942077
170	2.03087873
171	2.006981404
172	1.984600214
173	1.967381656
174	1.948284882
175	1.925619114
176	1.906097142
177	1.887000437
178	1.868574931
179	1.850070925
180	1.833245992
181	1.8140504
182	1.792158862
183	1.787304092
184	1.769828228
185	1.749512693
186	1.739697341
187	1.724127015
188	1.701786333
189	1.683735393
190	1.671139019
191	1.652858418
192	1.633041157
193	1.618974988
194	1.602208426
195	1.582446688
196	1.568231799
197	1.554638855
198	1.542028036
199	1.522624952
200	1.504918205
201	1.488155758
202	1.470817002
203	1.463620411
204	1.445469962
205	1.433227699
206	1.421790007
207	1.407195809
208	1.392106681
209	1.377036316
210	1.366587407
211	1.348679287
212	1.335088718
213	1.319526159
214	1.30928164
215	1.301210377
216	1.286046514
217	1.276974363
218	1.259594513
219	1.247033439
220	1.232249608
221	1.220235027
222	1.208330355
223	1.194927698
224	1.182930265
225	1.171233509
226	1.158630465
227	1.14766899
228	1.141528741
229	1.127889163
230	1.11783365
231	1.10679651
232	1.096721701
233	1.084963437
234	1.072811625
235	1.068991167
236	1.057051135
237	1.047058062
238	1.032681221
239	1.019780443
240	1.006544534
241	0.9998972688
242	0.9881102137
243	0.9813363663
244	0.9731448071
245	0.9642752859
246	0.9557275323
247	0.9480675886
248	0.9358133351
249	0.9252055328
250	0.9130610307
251	0.9019889537
252	0.8896013338
253	0.8794010019
254	0.8709169906
255	0.8625643286
256	0.8523172346
257	0.8443193183
258	0.8373931513
259	0.8282326475
260	0.8209163414
261	0.8119624818
262	0.8028520317
263	0.7925842215
264	0.7821763264
265	0.7733446943
266	0.7638274451
267	0.7549874175
268	0.7447397709
269	0.7383548899
270	0.7292331814
271	0.7200225818
272	0.7102542376
273	0.7024388899
274	0.6955070956
275	0.6900915306
276	0.6834718519
277	0.674472451
278	0.6653399834
279	0.6563772959
280	0.649281623
281	0.6438916381
282	0.6387083243
283	0.6322138081
284	0.6245040201
285	0.618267974
286	0.6124390458
287	0.6074050644
288	0.6018625406
289	0.5942043655
290	0.5897102073
291	0.5830262013
292	0.5770087113
293	0.5699260965
294	0.5621156468
295	0.5555212083
296	0.5487588912
297	0.5439092398
298	0.5383251251
299	0.5323727868
300	0.5251240183
301	0.5204457238
302	0.5137365907
303	0.5082134271
304	0.5015703432
305	0.4964809167
306	0.4899443943
307	0.4851973766
308	0.4815849669
309	0.4758404269
310	0.4705736465
311	0.4662499226
312	0.4613237652
313	0.4566090802
314	0.4539940187
315	0.4488688241
316	0.4447778915
317	0.440054747
